id,page_content,parent,topic
e935a8f83940a86f65b50dfbe3980cc7,بیمه حوادث سرنشین به جبران خسارات جانی راننده مقصر می  پردازد و زیرمجموعه  ای از بیمه شخص ثالث است. در حوادث رانندگی، خسارات اشخاص ثالث، که شامل خودروی مقابل، راننده و سرنشینان خودروی مقابل و سرنشینان خودروی مقصر هستند، توسط بیمه شخص ثالث پرداخت خواهد شد. این بیمه شامل زیرمجموعه  ای است که خسارات جانی راننده مقصر را نیز تحت پوشش قرار می  دهد. در گذشته، بیمه حوادث سرنشین به صورت جداگانه ارائه می  شد، اما در حال حاضر بخش ثابتی از بیمه شخص ثالث است. - از آن جا که داشتن بیمه شخص ثالث برای همه صاحبان وسایل نقیه موتوری اجباریست، همه افراد ملزم  اند تحت پوشش بیمه حواث سرنشین نیز باشند. البته برای دریافت این بیمه تنها لازم است حق بیمه شخص ثالث را بپردازید.,بیمه حوادث سرنشین چیست؟,بیمه حوادث سرنشین چیست؟
e3371e519af60bfb4c7b1cdb67010ebf,پوشش  های این بیمه عبارتند از  - دیه جراحت و آسیب  ها  هزینه  های پزشکی فرد آسیب  دیده  دیه نقص عضو؛  دیه ازکارافتادگی کامل یا جزئ  دیه فوت - خوب است بدانید که طبق قوانین بیمه، دیه مقصر تنها بر اساس دیه ماه  های غیرحرام پرداخت خواهد شد. دیه اشخاص ثالث در ماه  های حرام مبلغی بالاتر از ماه  های عادی است، اما برای راننده مقصر، این مبلغ در همه ماه  ها ثابت بوده و همان مبلغ دیه در ماه  های عادی در نظر گرفته شده است.,پوشش‌های بیمه حوادث سرنشین,بیمه حوادث سرنشین چیست؟
86291885c83856b28e1dc253ca5c318a,شاید نام «بیمه حوادث سرنشین» شما را به اشتباه بیندازد که این بیمه تنها برای جبران خسارات سرنشینان است، اما توجه داشته باشید که خسارات هیچ سرنشینی توسط این بیمه پرداخت نمی  شود. در واقع خسارات سرنشینان هر دو خودرو تحت پوشش بیمه شخص ثالث است و بیمه حوادث سرنشین تنها غرامت خسارات وارده به راننده مقصر را پرداخت خواهد کرد.,دیه سرنشینان هر خودرو توسط کدام بیمه پرداخت می‌شود؟,بیمه حوادث سرنشین چیست؟
c99c72d45f957968648c8a6cb819fe51,بیمه  نامه حوادث سرنشین و بیمه بدنه هر دو به جبران خسارات راننده مقصر می  پردازند، اما تفاوت  های مهمی دارند. بیمه حوادث سرنشین تنها خسارات جانی راننده مقصر را جبران خواهد کرد و برای دریافت آن تنها لازم است تحت پوشش بیمه شخص ثالث باشید. اما بیمه بدنه خسارات مالی راننده مقصر، یعنی هزینه  های تعمیر یا تعویض خودروی او را جبران می  کند. برای بهره  مندی از پوشش  های این بیمه، لازم است آن را به صورت جداگانه خریداری کنید و حق بیمه آن را بپردازید. همچنین بیمه بدنه تنها در تصادفات رانندگی کاربرد ندارد، بلکه خسارات ناشی از سرقت، بلایای طبیعی و.. را نیز جبران می  کند.,تفاوت بیمه حوادث سرنشین و بیمه بدنه,بیمه حوادث سرنشین چیست؟
50f8ab3118d6058cfc2eddede020cf4f,خسارتی که برای جراحات راننده مقصر از بیمه حوادث سرنشین دریافت می  کنید به شدت آسیب  های وارده بستگی خواهد داشت. برای محاسبه این خسارت، هزینه  های پزشکی درمان سرپایی یا بستری در نظر گرفته می  شوند و برای پرداخت دیه جراحت، نقص عضو، از کار افتادگی و فوت، شرکت بیمه  گر طبق دیه انسان کامل غرامت راننده را پرداخت خواهد کرد.,نحوه محاسبه خسارات بیمه حوادث سرنشین,بیمه حوادث سرنشین چیست؟
8324d2ddec0d0093d541f398349ac188,بیمه حوادث سرنشین یا راننده برای شما هزینه  ای نخواهد داشت، زیرا با پرداخت حق بیمه شخص ثالث، تحت پوشش این بیمه نیز قرار خواهید گرفت. حق بیمه شخص ثالث نیز با توجه به نرخ پایه بیمه مرکزی (که بر اساس نرخ دیه کامل در ماه  های حرام تعیین می  شود)، نوع و کاربری خودرو، مشخصات فنی خودرو و سوابق بیمه شخص ثالث تعیین می  شود. برای دریافت تخفیف بیمه حوادث سرنشین، لازم است در گذشته برای حداقل یک سال تحت پوشش بیمه شخص ثالث بوده باشید تا امکان دریافت تخفیف تا سقف ۷۰ درصد حق بیمه را کسب کنید.,قیمت بیمه حوادث سرنشین,بیمه حوادث سرنشین چیست؟
9c3598eaa1e9e74d5f6bc2401842cc72,پس از وقوع یک سانحه رانندگی، می  توانید با توجه به نوع خسارت وارده مدارک لازم را آماده کرده و برای دریافت خسارت از شرکت بیمه اقدام کنید.لازم است مدارک شما در زمان دریافت خسارت کامل باشند، زیرا در غیر این صورت شرکت بیمه تعهدی برای پرداخت خسارات نخواهد داشت. مدارک ضروری برای دریافت خسارت از این بیمه برای خسارات نقص عضو و فوت متفاوت خواهند بود. - برای دریافت خسارات جراحات راننده در تصادفات رانندگی، لازم است این مدارک را به شرکت بیمه خود ارائه کنید  - اصل گواهینامه و کارت خودرو؛  اصل بیمه  نامه شخص ثالث خودرو؛  کپی گزارش یگان نظامی؛  کپی صورت  الجلسه  ای که توسط پلیس از محل حادثه ارائه می  شود؛  کپی استعلام بیمه  نامه راننده؛  کپی صورت  حساب پرداخت حق بیمه؛  کپی کروکی پلیس راهنمایی و رانندگی از تصادف؛  کپی نظریه کارشناس دادگستری؛  اصل و کپی صورت  حساب پرداخت شده در مراکز درمانی. - در نظر داشته باشید که پزشک باید توسط شرکت بیمه  گر معرفی شده باشد، در این صورت تعهدی در قبال پرداخت خسارات نخواهد داشت. - برای دریافت دیه فوت راننده از شرکت بیمه، لازم است علاوه بر مدارک بالا، این مدارک را نیز ارائه کنید  - گواهی فوت فرد متوفی  شناسنامه باط  ل  شده و کارت ملی متوفی  مدارک هویتی وراث فرد متوفی  مدارک معاینه جسد توسط پزشک قانونی  گواهی انحصار وراثت  کپی شناسنامه اولیای دم  کپی برابر اصل جواز دفن متوفی,مراحل دریافت خسارت بیمه حوادث سرنشین,بیمه حوادث سرنشین چیست؟
84ea3a631cd8054347327e10deb04078,برای دریافت خسارات جراحات راننده در تصادفات رانندگی، لازم است این مدارک را به شرکت بیمه خود ارائه کنید  - اصل گواهینامه و کارت خودرو؛  اصل بیمه  نامه شخص ثالث خودرو؛  کپی گزارش یگان نظامی؛  کپی صورت  الجلسه  ای که توسط پلیس از محل حادثه ارائه می  شود؛  کپی استعلام بیمه  نامه راننده؛  کپی صورت  حساب پرداخت حق بیمه؛  کپی کروکی پلیس راهنمایی و رانندگی از تصادف؛  کپی نظریه کارشناس دادگستری؛  اصل و کپی صورت  حساب پرداخت شده در مراکز درمانی. - در نظر داشته باشید که پزشک باید توسط شرکت بیمه  گر معرفی شده باشد، در این صورت تعهدی در قبال پرداخت خسارات نخواهد داشت.,مراحل دریافت خسارت بیمه حوادث سرنشین,بیمه حوادث سرنشین چیست؟
320bdb41705c5dd0366c416e9f619a74,برای دریافت دیه فوت راننده از شرکت بیمه، لازم است علاوه بر مدارک بالا، این مدارک را نیز ارائه کنید  - گواهی فوت فرد متوفی  شناسنامه باط  ل  شده و کارت ملی متوفی  مدارک هویتی وراث فرد متوفی  مدارک معاینه جسد توسط پزشک قانونی  گواهی انحصار وراثت  کپی شناسنامه اولیای دم  کپی برابر اصل جواز دفن متوفی,مراحل دریافت خسارت بیمه حوادث سرنشین,بیمه حوادث سرنشین چیست؟
013e2a0e51e17e6d518b16692498711b,برای استفاده از پوشش  های این بیمه، علاوه بر ارائه مدارک ضروری، لازم است وظایف دیگری را نیز در نظر داشته باشید؛ از جمله  - بیمه  گذار وظیفه دارد در کمتر از ۲۴ ساعت حادثه را به شرکت بیمه گزارش کند.  در صورت فوت افراد در حادثه، بیمه  گذار باید بلافاصله به شرکت بیمه اطلاع دهد تا در صورت لزوم، پیش از دفن کالبدشکافی انجام شود (شرکت بیمه می  تواند برای کالبدشکافی جسد را از خاک خارج کند و هزینه این کار بر عهده وراث بیمه  گذار خواهد بود).  اگر بیمه  گذار در سانحه دچار آسیب شود، باید بلافاصله به یک بیمارستان مناسب منتقل شود و اطلاعات درمانی خود را تحت اختیار شرکت بیمه بگذارد.  شرکت  های بیمه  گر و پزشک  های معتمد هر شرکت می  توانند برای بررسی صدمات و تعیین میزان خسارات فرد بیمه  گذار را معاینه کنند.,وظایف بیمه‌گذار برای دریافت بیمه حوادث سرنشین,بیمه حوادث سرنشین چیست؟
52bd8c157b376b540e012cc590b2b7ac,بیشتر قوانین و نکاتی که هنگام خرید بیمه می  شنوید درباره بیمه شخص ثالث هستند، اما خوب است با بعضی جزئیات بیمه حوادث سرنشین نیز آشنا باشید  - بدون خرید بیمه شخص ثالث، هیچ راه دیگری برای بهره  مندی از پوشش بیمه حوادث سرنشین وجود ندارد.  اگر راننده مقصر دچار آسیب شود، تنها در صورتی امکان دریافت خسارت را خواهد داشت که آسیب  های او ناشی از حادثه رانندگی باشند.  اگر بیمه  نامه به موقع تمدید نشود، بیمه شخص ثالث و حوادث سرنشین راننده باطل خواهند شد و راننده ناچار است خسارات را پرداخت کند.  میزان خسارت پرداختی شما مبلغ ثابتی نیست، بلکه تنها با توجه به نوع و شدت حادثه محاسبه می  شود.  اگر تصادف حین رانندگی بدون گواهینامه مناسب یا حین مصرف مشروبات الکلی و مواد مخدر رخ داده باشد، شرکت بیمه تعهدی برای جبران خسارات راننده مقصر یا اشخاص ثالث ندارد.  دیه فوت راننده مقصر تنها بر اساس دیه کامل فوت در ماه  های غیرحرام محاسبه خواهد شد، حتی اگر سانحه در ماه حرام رخ دهد.,نکات مهم,بیمه حوادث سرنشین چیست؟
7fc0163dc7730bc107d176e281695a8b,بیمه حوادث سرنشین بیمه  ای ضروری و کاربردی  ست، اما نیازی نیست نگران خرید آن باشید! از آن جا که این بیمه به زیر مجموعه بیمه شخص ثالث تبدیل شده است، تنها به بیمه شخص ثالث نیاز دارید تا از همه پوشش  های هر دو بیمه بهره  مند شوید. این یعنی در تصادفات رانندگی، تمامی افراد هر دو خودرو، از جمله رانندگان و سرنشینان تحت پوشش بیمه هستند و خسارات آسیب  های جانی خود را دریافت خواهند کرد. برای انتخاب و خرید بیمه می  توانید با مراجعه به سایت بیمه بازار، ضمن مقایسه قیمت بیمه  نامه خود را به صورت آنلاین خریداری کنید.  جهت دریافت مشاوره تلفنی نیز می  توانید با شماره 91007240 تماس بگیرید. کارشناسان بیمه بازار در مارحل صدور تا خرید بیمه در کنار شما خواهند بود.,سخن پایانی,بیمه حوادث سرنشین چیست؟
0d8a48562c097a527711b75ce7dc3148,در این مورد مقصر مدارک مورد نیاز از قبیل بیمه نامه، برش خسارت، تصویر برابر اصل شده گواهینامه، کارت خودرو، کروکی و اصل نامه معرفی نامه ضمیمه پرونده می  کند  و خسارت بعد از بازدید محل وقوع حادثه و تخمین خسارت وارده توسط ارزیاب خسارت شرکت بیمه مبلغ به حساب اداره مربوطه واریز می  شود و چک خسارتی یا حواله جهت ارائه به آن سازمان تحویل مقصر می  شود، شرکت  های بیمه از مقصر حادثه در ازاء تحویل اسناد مالی یک وثیقه جهت اطمینان از تحویل فیش واریزی به آن سازمان دریافت می  کند.,مراجعه مستقیم مقصر به شرکت بیمه با معرفی نامه:,در برخورد خودرو با اشیا ثابت پرداخت خسارت چگونه است؟
d7b9d9f54130d7d8eadf93804e181898,در این مورد نماینده اداره ذی  ربط با در دست داشتن مدارک مسبب حادثه و معرفی نامه به شرکت بیمه مراجعه می  کند که پس از بازدید محل وقوع حادثه و تخمین خسارت وارده توسط ارزیاب خسارت مبلغ خسارت بدون اخذ تضمین به حساب سپرده اداره مربوطه یا شماره حساب دیگر که در معرفی نامه اعلام شده است واریز می  شود، همچنین چک خسارت تحویل خواهد شد. - مطالب مرتبط   بیمه شخص ثالث؛ بیمه حوادث سرنشین و جبران خسارت راننده مقصر,مراجعه مستقیم نماینده اداره یا سازمان مربوطه:,در برخورد خودرو با اشیا ثابت پرداخت خسارت چگونه است؟
