,id,parent,topic,page_content_en,page_content_fa
10,98ff1087e42dde8ea8ff2d61a91c3e1e,چه زمانی می‌توانیم از بیمه شخص ثالث و بیمه بدنه به طور همزمان استفاده کنیم؟,شرایط استفاده همزمان از بیمه شخص ثالث مقصر و بیمه بدنه زیان دیده,Accidents are liable to the person at any degree and percent. The financial limit of the insurance of the responsible car does not cover the damage to the damaged car. The damaged car must be inspected and assessed by an insurance expert.,اگر در تصادف اتومبیل مقصر، راننده ی دیگری نیز حضور داشته باشد.
11,810db3b0be3d734ac0e3a84abc708aa2,مدارک لازم برای تشکیل پرونده بیمه شخص ثالث,شرایط استفاده همزمان از بیمه شخص ثالث مقصر و بیمه بدنه زیان دیده,- prepare the following documents: - original or photocopy of the police report - photocopy of the investigation sheets of the parties - photocopy of the additional police reports - photocopy of the valid insurance of the parties - photocopy of the opinion of the experts - photocopy of the explanation of the report - photocopy of the driver's license at the time of the accident - photocopy of the identification card of the parties - photocopy of the ownership identification of the damaged vehicle - photocopy of the service and replacement parts expense invoice - original or photocopy of the insurance claim voucher,برای پرداخت خسارت وارده به خودروی خود باید از موارد زیر استفاده کنید: اصل یا تصویر اصل کروکی پلیس راهور ناجا. تصویر برگه های بازجویی طرفین حادثه. تصویر گزارش های تکمیلی ناجا. تصویر بیمه xa0شخص ثالث معتبر طرفین حادثه. نظریه هیات های کارشناسان رسمی دادگستری. تصویر برگه تفهیم کروکی. تصویر گواهینامه راننده حین تصادف. تصویر کارت مشخصات خودرو طرفین حادثه. تصویر شناسنامه مالکیت خودرو زیان دیده. فاکتور اجرت خدمات تعمیرات و لوازم تعویضی. اصل یک قطعه کوپن بیمه نامه شخص ثالث مقصر.
12,f3433037714e107bf22a74e61baccb49,مدارک لازم برای تکمیل پرونده خسارت بیمه بدنه اتومبیل,شرایط استفاده همزمان از بیمه شخص ثالث مقصر و بیمه بدنه زیان دیده,Original and a copy of the vehicle's insurance policy with any additional coverages. Original and a copy of the vehicle's insurance policy. Police report. Copy of the investigation sheets of the parties involved. Copy of any additional police reports. Written report of a judicial expert. Opinion of a judicial expert. Copy of the damage claim form. Copy of the check or a claim receipt from the insurance company of the party responsible for the accident. Original and a copy of the driver's license. Copy of the driver's ID card. Original and a copy of the owner's identification. Original and a copy of the vehicle's insurance claim.,برای پرداخت خسارت وارده به وسیله نقلیه باید موارد زیر را در نظر بگیرید: اصل و تصویر بیمه بدنه وسیله نقلیه به همراه الحاقیه های صادره احتمالی. اصل و تصویر بیمه نامه شخص ثالث وسیله نقلیه ارائه گزارش مقامات انتظامی تصویر برگه های بازجویی طرفین حادثه تصویر سایر گزارش های تکمیلی نیروی انتظامی گزارش کتبی کارشناس رسمی دادگستری نظریه هیات های کارشناسان رسمی دادگستری تصویر برگه تفهیم کروکی ارائه تصویر چک یا حواله خسارتی که از محل بیمه شخص ثالث مقصر حادثه دریافت شد. اصل و تصویر گواهینامه راننده. اصل و تصویر کارت ملی بیمه گذار و راننده اصل و تصویر شناسنامه مالکیت خودرو اصل فاکتور هزینه های حمل و نجات خودرو اصل فاکتور اجرت تعمیرات و قیمت لوازم
13,24a26aef78a5873f7c70999f8f57b238,استفاده همزمان از بیمه شخص ثالث مقصر و بیمه بدنه زیان دیده,شرایط استفاده همزمان از بیمه شخص ثالث مقصر و بیمه بدنه زیان دیده,"sometimes, you need to use both car insurance and collision insurance at the same time.",اگر خسارت های خودروی زیان دیده بیشتر از مبلغی باشد که بیمه شخص ثالث متعهد به پرداخت آن شده است، فرد زیان دیده می تواند از بیمه بدنه خودروی خود نیز استفاده کند.
14,794bbf1930037dec7034528767c084c0,پرداخت از طریق بانک‌ها,راه‌های پرداخت حق بیمه کارفرمایی,برای مشاهده سوابق بیمه شدگان تامین اجتماعی در سامانه جدید اینترنتی، روی لینک زیر کلیک کنید:,اگر کارت بانکی ندارید، می تونید از طریق یکی از بانک های زیر به صورت حضوری حق بیمه خود را پرداخت کنید:
15,02d4b02ce1adb59eab0097f6ccfd9b54,پرداخت حق بیمه با کارت شتاب از طریق سایت بانک رفاه کارگران,راه‌های پرداخت حق بیمه کارفرمایی,Pay your insurance with the Bank of Refah. Pay your insurance with the Social Security employer portal. Download the 724 mobile app.,پرداخت از طریق بانک رفاه کارگران. پرداخت از طریق پرتال اختصاصی کارفرمایان. پرداخت از طریق اپلیکیشن موبایل ۷۲۴ (سه سوت).
16,08d680d54814eb9c122c97a6533accc8,پرداخت حق بیمه با کارت شتاب از طریق سایت بانک رفاه کارگران,راه‌های پرداخت حق بیمه کارفرمایی,Pay your employer's insurance premium easily and safely with the employer portal on the Social Security website.,برای پرداخت حق بیمه کارفرمایان از طریق پرتال اختصاصی کارفرمایان در سایت تامین اجتماعی استفاده کنید. برای پرداخت از طریق اپلیکیشن موبایل ۷۲۴ (سه سوت) استفاده کنید.
17,55817a6772ea8cfeee18f14392eecd5f,پرداخت حق بیمه از طریق سامانه مبتنی بر USSD بانک رفاه,راه‌های پرداخت حق بیمه کارفرمایی,Use the USSD code to pay your insurance.,پرداخت قبض تامین اجتماعی با کد USSD
18,5e4534c5eabbdac4fa5a0031e48789d2,بیمه حوادث سرنشین چیست؟,بیمه حوادث سرنشین چیست؟,"Insurance of passengers is a sub-coverage of the insurance of third parties. Since having a third party insurance is mandatory for all motor vehicles, all drivers are required to have a passenger liability insurance. To get this insurance, you just need to pay the third party insurance premium.",بیمه حوادث سرنشین به جبران خسارات جانی راننده مقصر می پردازد و زیرمجموعه ای از بیمه شخص ثالث است.
19,f7948a248e1056a904f2440e3db73ea8,پوشش‌های بیمه حوادث سرنشین,بیمه حوادث سرنشین چیست؟,"The insurance covers the following:--Accidental injury compensation Medical costs of the injured person Disability compensation; full or partial disability compensation Death compensation According to insurance rules, the amount of compensation for the responsible driver will be based on the amount of compensation for non-Haram months. The amount of compensation for third parties in Haram months is higher than in normal months, but the amount of compensation for the responsible driver is fixed in all months and is the same as in normal months.",بیمه شخص ثالث نوعی بیمه است که برای رانندگانی که در تصادفات رانندگی مقصر هستند، استفاده می شود.
20,086a0ae3633770d2c78e871070f2548a,دیه سرنشینان هر خودرو توسط کدام بیمه پرداخت می‌شود؟,بیمه حوادث سرنشین چیست؟,"The insurance of passengers is not a passenger insurance. In fact, passengers of both cars are covered by the insurance of the third party. The insurance of passengers only pays for the damages caused to the driver who is responsible.",بیمه حوادث سرنشین برای راننده مقصر است و خسارات وارده به سرنشینان خودروهای دیگر را پرداخت نمی کند.
21,e7a83f0e28fcd8e0c40fedd7c8d82db1,تفاوت بیمه حوادث سرنشین و بیمه بدنه,بیمه حوادث سرنشین چیست؟,Choose between insurance for passengers and insurance for the body of the car.,بیمه نامه حوادث سرنشین و بیمه بدنه هر دو به جبران خسارات راننده مقصر می پردازند، اما تفاوت های مهمی دارند.
22,6a22a045b9c48f27210295a6f0acf827,نحوه محاسبه خسارات بیمه حوادث سرنشین,بیمه حوادث سرنشین چیست؟,"The amount of compensation you will receive from the driver's liability insurance will depend on the severity of the injuries. The amount of compensation will be calculated by taking into account the medical costs of emergency or intensive care treatment and the insurance company will pay the driver's full compensation for injuries, partial damages, disability and death.",خسارت پرداختی برای جراحات راننده مقصر به شدت به آسیب های وارده بستگی خواهد داشت. برای محاسبه این خسارت، هزینه های پزشکی درمان سرپایی یا بستری در نظر گرفته می شود و برای پرداخت دیه جراحت، نقص عضو، از کار افتادگی و فوت، شرکت بیمه گر طبق دیه انسان کامل غرامت راننده را پرداخت خواهد کرد.
23,6f70aee93759aaef0d66e6cc63b5e903,قیمت بیمه حوادث سرنشین,بیمه حوادث سرنشین چیست؟,"Drivers' accident insurance is free of charge, as you will be covered by the insurance of third parties. The insurance of third parties is also determined by the Central Insurance Rate (which is based on the full damages rate in the month of Ramadan), the type and use of the vehicle, the technical characteristics of the vehicle, and the insurance history. To get a discount on the insurance of passengers, you must have been covered by the insurance of third parties for at least one year in the past, and you can get a discount of up to 70 percent of the insurance.",برای دریافت تخفیف بیمه حوادث سرنشین، لازم است در گذشته برای حداقل یک سال تحت پوشش بیمه شخص ثالث بوده باشید.
24,ce5a625dd5cadff5d9b1734db175ccde,مراحل دریافت خسارت بیمه حوادث سرنشین,بیمه حوادث سرنشین چیست؟,Prepare the necessary documents.,برای دریافت خسارت از بیمه شخص ثالث خودرو، مدارک لازم را آماده کنید. برای دریافت خسارت نقص عضو، مدارک لازم را آماده کنید. برای دریافت خسارت فوت، مدارک لازم را آماده کنید.
25,9f1f0175b649c813fdd23c02b06821b0,مراحل دریافت خسارت بیمه حوادث سرنشین,بیمه حوادث سرنشین چیست؟,"When you are injured in a road accident, you need to provide these documents to your insurance company.",برای دریافت خسارات جراحات راننده در تصادفات رانندگی، لازم است این مدارک را به شرکت بیمه خود ارائه کنید:
26,15da234f1beea352ece0fc6416655090,مراحل دریافت خسارت بیمه حوادث سرنشین,بیمه حوادث سرنشین چیست؟,"To get the driver's death claim from the insurance company, you need to provide the following documents in addition to the above:--Proof of death of the deceased person Lost passport and identity card of the deceased person Identity proof of the deceased person's heirs Proof of the deceased person's body examination by a legal examination certificate Proof of the deceased person's inheritance Proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's identity proof of the deceased person's ",برای دریافت دیه فوت راننده از شرکت بیمه، لازم است علاوه بر مدارک بالا، این مدارک را نیز ارائه کنید.
27,e9ca424c3281900b58fe934d9012180d,وظایف بیمه‌گذار برای دریافت بیمه حوادث سرنشین,بیمه حوادث سرنشین چیست؟,"Additionally, you must also consider other responsibilities, such as being able to maintain a healthy lifestyle. When a claim is made, the insurer must report it to the insurance company within 24 hours. If a person dies in the accident, the insurer must report it to the insurance company immediately so that a autopsy can be performed before burial. If the insurer is injured in the accident, the insurer must transport him to a suitable hospital and provide the insurance company with all medical information. The insurance company and a medical expert can inspect the injuries and determine the extent of the damage.",بیمه نامه مسئولیت راننده برای رانندگانی که در تصادفات رانندگی دچار آسیب می شوند، ضروری است.
28,545e3435689684dbe448226c119b8bc3,نکات مهم,بیمه حوادث سرنشین چیست؟,Understand that insurance covers only drivers who are responsible for the accident. Understand that insurance does not cover drivers who are driving under the influence of alcohol or drugs. Understand that insurance does not cover drivers who are driving while intoxicated.,اگر راننده مقصر دچار آسیب شود، تنها در صورتی امکان دریافت خسارت را خواهد داشت که آسیب های او ناشی از حادثه رانندگی باشد. اگر بیمه نامه به موقع تمدید نشود، بیمه شخص ثالث و حوادث سرنشین راننده باطل خواهند شد و راننده ناچار است خسارات را پرداخت کند. میزان خسارت پرداختی شما مبلغ ثابتی نیست، بلکه تنها با توجه به نوع و شدت حادثه محاسبه می شود. اگر تصادف حین رانندگی بدون گواهینامه مناسب یا حین مصرف مشروبات الکلی و مواد مخدر رخ داده باشد، شرکت بیمه تعهدی برای جبران خسارات راننده مقصر یا اشخاص ثالث ندارد. دیه فوت راننده مقصر تنها بر اساس دیه کامل فوت در ماه های غیرحرام محاسبه خواهد شد، حتی اگر سانحه در ماه حرام رخ دهد.
29,f3d1966b068571ed17b6cd935a56ade5,سخن پایانی,بیمه حوادث سرنشین چیست؟,"Insurance of passengers is a necessary insurance but not necessary. Since this insurance is a sub-category of insurance of third party, you only need insurance of third party to get all the coverages of both insurances. This means that in an accident, all people in both cars, including drivers and passengers, are covered by insurance and will receive damages for their injuries. To choose and buy insurance, you can visit the website of insurance market and compare the prices. You can also call the 91007240 number for advice.",بیمه حوادث سرنشین برای رانندگان و سرنشینان خودروهای شخصی ضروری است.
30,ab2d0955e09685e7f56b9ab6848939cd,مراجعه مستقیم مقصر به شرکت بیمه با معرفی نامه:,در برخورد خودرو با اشیا ثابت پرداخت خسارت چگونه است؟,"In this case, the responsible party submits the necessary documents such as insurance policy, damage cut, a copy of the original license, the car card, a copy of the registration, and a copy of the identification letter. After a damage assessment by the insurance company, the amount is transferred to the account of the responsible party and a damage check or a settlement is handed over to the responsible party for presentation to the responsible party. Insurance companies require a security deposit from the responsible party in exchange for the financial documents.",خسارت وارده
31,8c722bf2cfd141e72358c07ef541dccb,مراجعه مستقیم نماینده اداره یا سازمان مربوطه:,در برخورد خودرو با اشیا ثابت پرداخت خسارت چگونه است؟,Third Party Insurance; Collision and Comprehensive Insurance,اگر راننده مقصر حادثه ای را برای راننده دیگری رخ دهد، خسارت وارده به راننده مقصر پرداخت می شود.
32,6c21f0a39f5b0309cfede1ffc1104ec1,کدهای تخلف رانندگی چیست؟,آخرین به‌روزرسانی لیست کد تخلفات رانندگی سال ۱۴۰۱,"Drivers' tickets are a collection of codes that indicate the type of violation. For example, the code for lack of insurance is different from other codes. This code tells you that you need to buy insurance as soon as possible. These codes are presented in a complete table with their annual amounts within the traffic laws. In essence, these laws and the payment of traffic fines are very effective in enforcing road safety rules and acting as a deterrent. Each of the traffic violations has a specific amount of fines based on the importance of the violation. In recent years, the fines for each of these codes have increased significantly to prevent traffic violations. In addition, these fines are increasing every year. You may see a higher amount for a particular violation every year when you check your car's violations on the relevant system. 5% has been added to the amount of each of the traffic violations in 1401 compared to 1400 to make people more careful in obeying the rules. For example, illegal passing of special lines, which is one of the most serious violations, has increased by about 5 percent in the year 1401 and has reached 80 thousand IR-Toman. Lack of time is one of the major concerns of living in big cities. So everyone tries to use simpler methods to get things done. Check your car's fault codes to get a list of fault codes is a simple process that can be done online and offline. However, it is better to pay attention to several important things as a driver: one is to always follow the rules to increase your safety and the other is to get your insurance and renew it as soon as possible after it expires. Nowadays, insurance can be purchased online and you can simply click on a company with good services and compare it. More important than the type of violations is the amount of them. Sometimes we may not be able to pay the fine in one installment. In these cases, the question arises that how to pay the fine in installments? There are also conditions that can be used for the payment of fines. Here is a table with the driving violation codes and their explanations. Driving and obeying traffic laws is a basic part of our lives, but there are still some ambiguous areas of the law for some drivers, which causes them to ignore the law and instead face a fine without notice. Therefore, as an informed driver, it is better to be familiar with the latest list of driving violations every year so that no longer a fine will surprise you when you check your vehicle's records.",
33,56449bb9fed72826e6f18842c8f477c8,کدهای تخلف رانندگی چیست؟,آخرین به‌روزرسانی لیست کد تخلفات رانندگی سال ۱۴۰۱,"Traffic violations are a serious problem in the game. In recent years, the fines for each of these codes have increased significantly to prevent traffic violations. In addition, these fines are increasing every year. You may see a higher amount for a particular violation every year when you check your car's violations on the relevant system. 5% has been added to the amount of each of the traffic violations in 1401 compared to 1400 to make people more careful in obeying the rules. For example, illegal passing of special lines, which is one of the most serious violations, has increased by about 5 percent in the year 1401 and has reached 80 thousand IR-Toman.",برای استعلام خلافی خودرو در سال ۱۴۰۱، باید به سامانه مربوطه مراجعه کنید.
34,3b5cd43c29752e5a938cfdf3856bb738,کدهای تخلف رانندگی چیست؟,آخرین به‌روزرسانی لیست کد تخلفات رانندگی سال ۱۴۰۱,"lack of time is one of the major concerns of living in big cities. So everyone tries to use simpler methods to get things done. Check your car's fault codes to get a list of fault codes is a simple process that can be done online and offline. However, it is better to pay attention to several important things as a driver: one is to always follow the rules to increase your safety and the other is to get your insurance and renew it as soon as possible after it expires. Nowadays, insurance can be purchased online and you can simply click on a company with good services and compare it. More important than the type of violations is the amount of them. Sometimes we may not be able to pay the fine in one installment. In these cases, the question arises that how to pay the fine in installments? There are also conditions that can be used for the payment of fines.",برای پرداخت جرائم رانندگی باید از روش های مختلفی استفاده کرد.
35,174492fbf0fa9bbe7be30f37c0ef349e,کدهای تخلف رانندگی چیست؟,آخرین به‌روزرسانی لیست کد تخلفات رانندگی سال ۱۴۰۱,Here is a table with the driving violation codes and their explanations.,
36,56449bb9fed72826e6f18842c8f477c8,مبلغ خلافی خودرو در سال ۱۴۰۱,آخرین به‌روزرسانی لیست کد تخلفات رانندگی سال ۱۴۰۱,"Traffic violations are a serious problem for many drivers, and they are increasing every year. In recent years, the fines for each of these codes have increased significantly to prevent traffic violations. In addition, these fines are increasing every year. 5% has been added to the amount of each of the traffic violations in 1401 compared to 1400 to make people more careful in obeying the rules. For example, illegal passing of special lines, which is one of the most serious violations, has increased by about 5 percent in the year 1401 and has reached 80 thousand IR-Toman. Lack of time is one of the major concerns of living in big cities. So everyone tries to use simpler methods to get things done. Check your car's fault codes to get a list of fault codes is a simple process that can be done online and offline. However, it is better to pay attention to several important things as a driver: one is to always follow the rules to increase your safety and the other is to get your insurance and renew it as soon as possible after it expires. Nowadays, insurance can be purchased online and you can simply click on a company with good services and compare it. More important than the type of violations is the amount of them. Sometimes we may not be able to pay the fine in one installment. In these cases, the question arises that how to pay the fine in installments? There are also conditions that can be used for the payment of fines. Here is a table with the driving violation codes and their explanations. Driving and obeying traffic laws is a basic part of our lives, but there are still some ambiguous areas of the law for some drivers, which causes them to ignore the law and instead face a fine without notice. Therefore, as an informed driver, it is better to be familiar with the latest list of driving violations every year so that no longer a fine will surprise you when you check your vehicle's records.",
37,3b5cd43c29752e5a938cfdf3856bb738,مبلغ خلافی خودرو در سال ۱۴۰۱,آخرین به‌روزرسانی لیست کد تخلفات رانندگی سال ۱۴۰۱,"lack of time is one of the major concerns of living in big cities. So everyone tries to use simpler methods to get things done. Check your car's fault codes to get a list of fault codes is a simple process that can be done online and offline. However, it is better to pay attention to several important things as a driver: one is to always follow the rules to increase your safety and the other is to get your insurance and renew it as soon as possible after it expires. Nowadays, insurance can be purchased online and you can simply click on a company with good services and compare it. More important than the type of violations is the amount of them. Sometimes we may not be able to pay the fine in one installment. In these cases, the question arises that how to pay the fine in installments? There are also conditions that can be used for the payment of fines.",برای پرداخت جرائم رانندگی باید از روش های مختلفی استفاده کرد.
38,174492fbf0fa9bbe7be30f37c0ef349e,مبلغ خلافی خودرو در سال ۱۴۰۱,آخرین به‌روزرسانی لیست کد تخلفات رانندگی سال ۱۴۰۱,Here is a table with the driving violation codes and their explanations.,
39,3b5cd43c29752e5a938cfdf3856bb738,پرداخت تخلفات رانندگی به چه نحوی‌ست؟,آخرین به‌روزرسانی لیست کد تخلفات رانندگی سال ۱۴۰۱,"lack of time is one of the major concerns of living in big cities. So everyone tries to use simpler methods to get things done. Check your car's fault codes to get a list of fault codes is a simple process that can be done online and offline. However, it is better to pay attention to several important things as a driver: one is to always follow the rules to increase your safety and the other is to get your insurance and renew it as soon as possible after it expires. Nowadays, insurance can be purchased online and you can simply click on a company with good services and compare it. More important than the type of violations is the amount of them. Sometimes we may not be able to pay the fine in one installment. In these cases, the question arises that how to pay the fine in installments? There are also conditions that can be used for the payment of fines. Here is a table with the driving violation codes and their explanations. Driving and obeying traffic laws is a basic part of our lives, but there are still some ambiguous areas of the law for some drivers, which causes them to ignore the law and instead face a fine without notice. Therefore, as an informed driver, it is better to be familiar with the latest list of driving violations every year so that no longer a fine will surprise you when you check your vehicle's records.",
40,174492fbf0fa9bbe7be30f37c0ef349e,پرداخت تخلفات رانندگی به چه نحوی‌ست؟,آخرین به‌روزرسانی لیست کد تخلفات رانندگی سال ۱۴۰۱,Here is a table with the driving violation codes and their explanations.,
41,174492fbf0fa9bbe7be30f37c0ef349e,به روزترین لیست کد تخلفات رانندگی,آخرین به‌روزرسانی لیست کد تخلفات رانندگی سال ۱۴۰۱,Here is a table with the driving violation codes and their explanations.,
42,c5815260cc65e51b072119ba6a45ecbd,انتقال بیمه شخص ثالث و اهمیت آن برای مالکان خودرو,انتقال تخفیف بیمه شخص ثالث و تغییرات آن در ۱۴۰۱,"Insurance of third party is compulsory for all light, medium and heavy vehicles. It is referred to a person who has suffered physical or financial damage. In essence, the first person is the ""responsible driver"", the second person is the ""insurance company"" and the third person is the ""injured person"".",بیمه شخص ثالث نوعی بیمه است که خسارت جانی یا مالی به شخص ثالث وارد شده را پوشش می دهد.
